,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
39,826325,44,33,5105062,6618,MEDIUM,4,NO,HIGH
40,158384,26,19,5100047,1680,HIGH,5,NO,HIGH
41,878359,41,19,4993923,8825,MEDIUM,3,NO,HIGH
42,629036,6,15,5079608,7206,HIGH,2,NO,LOW
43,596941,28,46,4953789,2525,HIGH,4,NO,HIGH
44,277219,19,32,5037613,7708,HIGH,1,NO,LOW
45,596132,14,21,5068305,5746,MEDIUM,9,NO,HIGH
46,1289450,2,33,4927537,7371,HIGH,0,YES,LOW
47,1037685,22,0,4997330,9213,MEDIUM,0,NO,MEDIUM
48,204178,13,24,4889068,965,HIGH,7,NO,HIGH
49,596106,7,18,5035562,4333,MEDIUM,0,YES,LOW
50,32415,14,41,5071534,8401,LOW,3,NO,HIGH
51,637430,6,15,5032158,1049,LOW,1,NO,HIGH
52,1369831,11,27,5021596,7419,LOW,1,YES,MEDIUM
53,477798,43,47,4968990,9643,HIGH,4,NO,MEDIUM
54,1453313,40,13,5044291,6619,MEDIUM,2,NO,HIGH
55,575321,23,42,4963427,3887,LOW,0,YES,MEDIUM
56,133089,33,24,4997168,211,HIGH,5,NO,HIGH
57,653388,3,43,4982662,2553,HIGH,3,NO,MEDIUM
58,987169,31,15,5020256,795,LOW,5,NO,HIGH
59,36453,46,31,5010594,7796,HIGH,9,NO,HIGH
60,1177502,33,23,5097685,4755,HIGH,3,YES,LOW
61,37640,44,34,4997140,9627,HIGH,5,NO,MEDIUM
62,504580,2,26,5023999,7579,MEDIUM,4,YES,LOW
63,396002,17,38,5026972,780,HIGH,5,NO,HIGH
64,351859,29,9,4913083,8609,HIGH,3,YES,LOW
65,1240469,34,48,5003368,7794,LOW,3,YES,MEDIUM
66,155196,16,23,5068451,9652,LOW,2,NO,HIGH
67,917363,21,0,4899294,7287,MEDIUM,1,NO,MEDIUM
68,497192,25,12,5046836,9003,LOW,8,NO,HIGH
69,1146953,1,21,4995146,1334,HIGH,8,YES,MEDIUM
70,1175641,34,11,4982772,6959,LOW,2,NO,HIGH
71,1031650,26,3,5020679,642,HIGH,1,NO,HIGH
72,105486,23,1,5039891,3245,LOW,6,NO,HIGH
73,343358,47,12,5014506,7296,LOW,0,YES,MEDIUM
74,377450,47,26,5055164,8971,HIGH,6,YES,LOW
75,793414,20,0,4980199,3834,MEDIUM,5,NO,HIGH
76,1404287,13,26,5020321,40,HIGH,6,NO,HIGH
77,315120,39,31,5048980,6929,LOW,2,NO,HIGH
78,1104786,9,40,4975844,1383,LOW,2,YES,MEDIUM
79,1126796,45,1,5066618,6891,LOW,9,YES,HIGH
80,112737,37,48,5023743,1388,HIGH,9,NO,HIGH
81,891648,22,6,4972939,5611,MEDIUM,9,NO,HIGH
82,798272,24,16,5016596,551,MEDIUM,0,NO,HIGH
83,1189754,20,31,5015375,1852,MEDIUM,4,NO,HIGH
84,1338538,29,30,4972497,4226,LOW,1,NO,HIGH
85,250937,14,39,5009304,8602,MEDIUM,9,YES,MEDIUM
86,1131748,23,23,4969790,906,MEDIUM,3,YES,MEDIUM
87,1494201,9,22,5000835,9725,MEDIUM,1,YES,LOW
88,1378987,45,2,4910238,4516,HIGH,8,NO,HIGH
89,180483,32,11,4883783,2321,MEDIUM,1,NO,HIGH
90,1423565,12,44,5038747,7637,HIGH,6,YES,LOW
91,723404,10,14,4952463,4455,HIGH,2,NO,MEDIUM
92,1080776,29,41,4964449,8816,LOW,8,YES,HIGH
93,3875,42,9,4956744,9203,MEDIUM,2,NO,HIGH
94,968863,3,37,5013294,3603,HIGH,5,YES,LOW
95,558412,11,16,4957170,4006,LOW,9,YES,HIGH
96,1180939,34,33,5007772,101,LOW,5,YES,MEDIUM
97,522146,44,36,4978825,9800,HIGH,5,NO,MEDIUM
98,469854,47,35,4957681,5875,LOW,0,NO,HIGH
99,663118,37,38,5113813,8940,HIGH,1,YES,LOW
100,176509,23,5,4978386,697,MEDIUM,7,YES,HIGH
101,781646,43,19,4992977,6954,LOW,0,YES,MEDIUM
102,1287129,13,8,4960003,8470,MEDIUM,7,NO,MEDIUM
103,350034,5,49,5025535,4518,LOW,0,NO,HIGH
104,385749,4,41,5008388,4366,MEDIUM,3,NO,MEDIUM
105,644492,28,15,5026785,8707,LOW,5,NO,HIGH
106,212837,33,19,5015792,726,LOW,9,YES,HIGH
107,825099,38,29,4934943,2264,MEDIUM,4,YES,MEDIUM
108,120419,2,34,4978205,2123,HIGH,7,YES,MEDIUM
109,608883,17,41,5017565,4628,MEDIUM,1,YES,LOW
110,1191001,32,38,5022933,254,HIGH,0,NO,HIGH
111,1319824,39,17,5086116,6908,MEDIUM,4,NO,HIGH
112,1341904,0,39,4974180,2512,HIGH,9,NO,HIGH
113,683375,35,44,5019762,7749,HIGH,9,NO,MEDIUM
114,193685,48,18,4947832,6737,MEDIUM,9,NO,HIGH
115,952673,43,37,5030440,369,HIGH,2,YES,MEDIUM
116,1405720,33,7,4965653,283,MEDIUM,3,YES,MEDIUM
117,764390,8,42,4958193,9146,LOW,1,YES,MEDIUM
118,1278643,42,21,4964471,5310,MEDIUM,3,NO,HIGH
119,1470338,13,30,5013727,9101,LOW,7,NO,HIGH
120,1325603,25,49,5048336,4419,MEDIUM,4,NO,HIGH
121,208541,41,11,5068736,1609,HIGH,8,NO,HIGH
122,831920,14,22,5054278,8657,HIGH,7,YES,LOW
123,308914,21,13,5003658,1110,HIGH,3,YES,MEDIUM
124,494281,49,44,4933117,4043,HIGH,8,NO,HIGH
125,1375985,26,7,4996076,2459,LOW,9,NO,HIGH
126,567707,5,36,5040851,1216,MEDIUM,9,YES,MEDIUM
127,601760,47,48,5081107,1183,MEDIUM,2,YES,MEDIUM
128,1120155,19,35,4983810,7630,LOW,9,YES,HIGH
129,581592,26,26,4896595,4684,LOW,8,YES,HIGH
130,376203,42,6,5000178,6699,MEDIUM,9,NO,HIGH
131,1013867,14,25,5049187,2386,HIGH,9,NO,HIGH
132,1475440,48,11,5008220,4352,HIGH,8,NO,HIGH
133,516549,48,2,5023224,9875,LOW,0,YES,MEDIUM
134,514090,9,34,5041772,5329,LOW,1,YES,MEDIUM
135,736342,2,10,5001493,8821,HIGH,5,NO,LOW
136,1355868,8,2,4938098,2045,HIGH,1,NO,MEDIUM
137,164563,6,1,5061191,5581,MEDIUM,5,YES,MEDIUM
138,60242,27,3,5049527,4137,HIGH,9,NO,HIGH
139,216806,8,21,4972519,6697,HIGH,7,NO,MEDIUM
140,493223,3,20,4941322,6678,LOW,0,NO,MEDIUM
141,143999,13,27,4982618,6183,HIGH,6,NO,MEDIUM
142,71197,11,7,4990499,4578,HIGH,1,NO,MEDIUM
143,804060,21,9,4992346,3576,MEDIUM,3,YES,MEDIUM
144,1225058,17,44,5052101,4538,MEDIUM,5,YES,MEDIUM
145,385427,33,26,5066996,7228,MEDIUM,3,YES,MEDIUM
146,1030178,8,4,5021585,8319,LOW,9,NO,HIGH
147,390206,20,18,5054063,1371,MEDIUM,0,NO,HIGH
148,267487,38,22,4950306,1641,HIGH,7,YES,HIGH
149,1391978,36,41,5044913,2746,MEDIUM,6,YES,MEDIUM
150,1013977,14,35,5013707,6263,HIGH,6,YES,LOW
151,734197,35,44,4982506,3799,LOW,8,YES,HIGH
152,1182321,4,3,4927094,4103,HIGH,1,YES,LOW
153,142137,30,3,5023688,6605,LOW,9,YES,HIGH
154,1321738,22,17,5010641,9249,MEDIUM,1,NO,MEDIUM
155,744715,20,44,4994672,1008,HIGH,6,YES,MEDIUM
156,279126,11,46,5057596,5647,LOW,6,NO,HIGH
157,196811,11,28,5011904,6099,HIGH,1,YES,LOW
158,1181185,40,9,4975588,6529,LOW,9,NO,HIGH
159,1365894,16,40,5013254,4727,MEDIUM,5,YES,MEDIUM
160,1170205,17,32,4979181,1953,MEDIUM,6,NO,HIGH
161,743805,4,14,4970388,1988,LOW,6,NO,HIGH
162,440931,27,9,4997635,2921,LOW,4,NO,HIGH
163,80471,25,17,4956889,1142,LOW,4,YES,MEDIUM
164,77046,31,9,4983511,2329,MEDIUM,0,NO,HIGH
165,462170,16,12,4934213,5618,MEDIUM,4,YES,MEDIUM
166,834170,10,38,5018657,8291,HIGH,2,NO,LOW
167,526215,42,46,5009782,599,LOW,8,YES,HIGH
168,1319229,43,10,5035254,9687,LOW,7,NO,HIGH
169,1034648,4,14,4955475,5130,LOW,6,NO,HIGH
170,27308,32,18,4921216,4768,HIGH,9,NO,HIGH
171,1328712,18,47,5031192,639,LOW,5,NO,HIGH
172,143499,37,28,5000411,8171,MEDIUM,9,NO,HIGH
173,214527,42,47,5046321,6163,LOW,5,NO,HIGH
174,181833,0,0,5044151,3538,MEDIUM,2,YES,LOW
175,33705,26,40,5046243,3707,MEDIUM,5,NO,HIGH
176,979257,4,1,5071912,2179,LOW,5,NO,HIGH
177,146363,23,49,5048384,7077,MEDIUM,4,YES,MEDIUM
178,561327,25,32,4898420,5030,LOW,3,NO,HIGH
179,286485,20,37,4914757,943,LOW,1,YES,MEDIUM
180,862897,12,12,4971909,4761,HIGH,7,NO,MEDIUM
181,145390,7,1,4864001,1782,LOW,1,YES,MEDIUM
182,247317,42,19,4956993,3923,HIGH,6,YES,MEDIUM
183,1177642,7,27,4996487,9814,MEDIUM,4,NO,MEDIUM
184,424414,49,25,4935945,4660,HIGH,5,YES,MEDIUM
185,973313,4,11,4895002,1515,MEDIUM,7,NO,HIGH
186,1256287,2,49,4973948,8403,MEDIUM,6,NO,MEDIUM
187,526093,48,9,4945028,5448,HIGH,8,NO,HIGH
188,630003,3,30,4980117,1840,LOW,4,NO,HIGH
189,1341531,35,20,4928210,1910,HIGH,8,NO,HIGH
190,1323130,31,37,4972241,968,MEDIUM,4,NO,HIGH
191,238550,23,6,5028260,6576,MEDIUM,1,YES,LOW
192,95944,6,27,5063863,9214,MEDIUM,2,YES,LOW
193,98429,8,36,4968395,8840,MEDIUM,1,YES,LOW
194,1268864,36,4,5011541,8308,LOW,7,YES,HIGH
195,1324116,41,1,4956955,158,LOW,8,YES,HIGH
196,680934,17,11,4982788,5512,LOW,2,NO,HIGH
197,577389,35,45,4913015,9863,HIGH,9,YES,LOW
198,151167,6,22,4978194,65,HIGH,9,NO,HIGH
199,1043380,0,43,5062089,3512,HIGH,2,YES,LOW
200,1151849,49,22,5018071,2878,LOW,8,NO,HIGH
201,352137,33,9,4975092,8221,MEDIUM,8,YES,MEDIUM
202,48451,18,21,4958194,9889,HIGH,9,YES,LOW
203,1204878,36,44,4937876,5502,HIGH,9,YES,MEDIUM
204,985570,6,36,4938267,1720,LOW,7,YES,MEDIUM
205,1177260,42,31,4860463,1473,MEDIUM,2,NO,HIGH
206,815151,21,5,4970023,9877,LOW,1,YES,MEDIUM
207,391936,49,31,5061672,703,HIGH,6,YES,HIGH
208,308558,9,2,4936002,3113,HIGH,0,YES,LOW
209,1300257,28,0,5078289,8222,HIGH,0,YES,LOW
210,1070486,0,36,5036397,9628,MEDIUM,2,NO,MEDIUM
211,502060,26,37,4999874,2518,LOW,7,YES,HIGH
212,1120870,8,40,4976258,939,HIGH,3,NO,HIGH
213,47517,21,43,5073404,5737,MEDIUM,0,NO,MEDIUM
214,1137745,1,11,5005706,4280,LOW,0,YES,LOW
215,732173,40,4,5057049,6261,LOW,4,YES,HIGH
216,1222738,11,28,5018278,1119,LOW,7,NO,HIGH
217,481021,9,37,4985234,5669,HIGH,5,YES,LOW
218,499009,22,23,4914635,6929,MEDIUM,9,NO,HIGH
219,456166,31,2,5009457,3617,HIGH,4,YES,MEDIUM
220,303434,1,10,5011121,2980,HIGH,1,YES,LOW
221,141059,25,46,5023169,7123,HIGH,9,NO,MEDIUM
222,577106,9,11,4941911,1800,LOW,9,NO,HIGH
223,1187317,26,4,4959224,3029,HIGH,0,NO,MEDIUM
224,716139,41,36,4932289,7775,HIGH,5,YES,LOW
225,297395,10,27,4925940,3254,MEDIUM,5,YES,MEDIUM
226,430657,44,37,4984660,4663,HIGH,8,YES,MEDIUM
227,164429,28,16,4905233,1315,MEDIUM,0,YES,MEDIUM
228,367122,40,15,5011711,1155,HIGH,4,YES,MEDIUM
229,322178,16,1,4964783,4873,LOW,2,YES,MEDIUM
230,60668,16,23,5038754,4495,MEDIUM,9,NO,HIGH
231,787352,36,10,5032584,9737,MEDIUM,5,NO,HIGH
232,1440981,20,40,5118119,7545,HIGH,0,NO,LOW
233,470313,6,10,4988495,4855,LOW,0,YES,MEDIUM
234,758636,24,29,4981158,718,MEDIUM,7,NO,HIGH
235,1316379,0,17,4990384,7066,MEDIUM,9,NO,MEDIUM
236,809311,10,47,5036849,462,LOW,3,NO,HIGH
237,780486,19,33,4924468,1615,MEDIUM,7,YES,MEDIUM
238,136803,36,48,4935759,8414,HIGH,2,NO,MEDIUM
239,812010,33,6,5177123,3614,MEDIUM,2,YES,MEDIUM
240,1156269,48,31,4958656,1821,HIGH,9,YES,HIGH
241,1141793,15,24,5054302,4826,LOW,2,NO,HIGH
242,707434,35,34,5021057,1960,MEDIUM,7,YES,HIGH
243,778109,7,4,5073364,3249,LOW,4,YES,MEDIUM
244,406587,33,21,4951430,1726,MEDIUM,4,YES,MEDIUM
245,273412,17,24,5031562,7098,LOW,8,YES,HIGH
246,999561,16,4,5019175,9373,MEDIUM,8,NO,MEDIUM
247,865205,38,27,5054521,1447,MEDIUM,2,NO,HIGH
248,799547,24,42,5069980,8346,HIGH,9,YES,LOW
249,232945,48,42,5022656,6991,MEDIUM,8,YES,HIGH
250,900082,49,5,4989030,6945,HIGH,1,YES,LOW
251,1480434,38,15,4993200,9846,HIGH,2,YES,LOW
252,863918,21,38,5048064,9606,MEDIUM,7,YES,LOW
253,334317,41,24,5018339,6685,LOW,9,YES,HIGH
254,893305,20,13,5006818,9634,HIGH,1,YES,LOW
255,16241,36,36,5047769,5451,LOW,3,NO,HIGH
256,419598,28,22,5087913,4113,MEDIUM,1,NO,HIGH
257,410753,27,11,4938517,400,HIGH,6,YES,MEDIUM
258,1500161,36,30,5074845,9858,HIGH,9,NO,MEDIUM
259,1240055,10,48,5050547,2558,LOW,2,NO,HIGH
260,561075,40,16,5085683,7621,LOW,8,NO,HIGH
261,168247,2,16,4998231,6710,HIGH,3,NO,LOW
262,948866,22,45,4970127,9393,HIGH,1,YES,LOW
263,793252,32,36,4984105,4917,LOW,0,YES,MEDIUM
264,1501948,4,31,5045454,5822,LOW,7,YES,MEDIUM
265,622573,23,47,4995083,8888,LOW,9,YES,HIGH
266,779470,38,1,4997446,8587,MEDIUM,0,NO,MEDIUM
267,1508740,23,32,5069567,4158,HIGH,7,NO,HIGH
268,1009516,24,4,5057699,3764,LOW,9,NO,HIGH
269,614179,47,18,5027934,6279,HIGH,8,NO,HIGH
270,1284739,7,43,4996236,3789,HIGH,9,NO,HIGH
271,887392,21,2,5004822,9540,LOW,3,YES,MEDIUM
272,614217,19,14,5040628,1918,LOW,9,NO,HIGH
273,109149,41,32,5083166,3315,HIGH,4,YES,MEDIUM
274,333144,30,41,5025157,3625,HIGH,5,YES,MEDIUM
275,484253,12,13,4930796,1124,HIGH,2,YES,MEDIUM
276,288434,45,22,4958263,5798,LOW,5,NO,HIGH
277,87698,20,33,5029010,4019,MEDIUM,2,NO,HIGH
278,1287255,25,30,4999571,1318,HIGH,9,YES,MEDIUM
279,1059158,23,23,4971171,8149,LOW,4,NO,HIGH
280,68522,30,13,5015429,6757,HIGH,4,YES,LOW
281,141008,1,1,5061225,5125,HIGH,8,NO,MEDIUM
282,741762,1,18,5037330,7351,MEDIUM,9,YES,MEDIUM
283,336160,40,10,5102235,4089,MEDIUM,7,NO,HIGH
284,1303024,12,31,5001238,4422,HIGH,7,NO,MEDIUM
285,238582,26,41,5000239,6502,HIGH,9,NO,HIGH
286,984282,17,36,4913123,4146,MEDIUM,6,YES,MEDIUM
287,1263198,10,17,5056587,7896,HIGH,7,YES,LOW
288,1325980,48,9,4963144,5438,MEDIUM,6,YES,MEDIUM
289,1068269,11,41,5052070,1444,LOW,8,YES,MEDIUM
290,1137828,0,0,5148370,7937,HIGH,8,YES,LOW
291,1418659,6,32,5030073,2832,HIGH,3,NO,MEDIUM
292,380340,49,44,5050198,2130,LOW,8,YES,HIGH
293,1492223,46,8,5034168,1140,HIGH,2,YES,MEDIUM
294,401018,40,8,4994995,642,MEDIUM,6,NO,HIGH
295,327995,19,30,4981889,1837,MEDIUM,3,YES,MEDIUM
296,69737,24,16,5003330,1172,HIGH,3,NO,HIGH
297,450142,25,18,5011819,9458,HIGH,8,YES,LOW
298,474903,2,2,4966105,2265,HIGH,0,NO,MEDIUM
299,428033,4,42,5013329,8688,MEDIUM,2,YES,LOW
300,858163,0,1,4979334,4753,HIGH,9,YES,LOW
301,1136179,27,14,5046119,8004,MEDIUM,8,YES,MEDIUM
302,1086656,1,15,5048089,5543,LOW,5,YES,MEDIUM
303,1064495,33,27,5050912,4200,LOW,2,NO,HIGH
304,80325,35,46,4966408,7722,MEDIUM,7,NO,HIGH
305,913710,31,30,4958923,5208,HIGH,8,NO,HIGH
306,1324151,39,16,5008852,8524,MEDIUM,6,YES,MEDIUM
307,567034,18,6,4931460,3634,LOW,0,YES,MEDIUM
308,1160537,39,8,5059871,2454,MEDIUM,6,YES,MEDIUM
309,95898,38,11,4952350,9898,HIGH,2,YES,LOW
310,1169114,38,19,4956045,7160,MEDIUM,0,NO,MEDIUM
311,396828,32,20,4975016,6619,LOW,8,YES,HIGH
312,580289,9,38,5051601,9955,LOW,3,YES,MEDIUM
313,170660,25,49,4955845,3132,HIGH,4,NO,HIGH
314,830189,31,16,5035276,2049,LOW,8,YES,HIGH
315,1225083,13,46,5069359,679,HIGH,8,NO,HIGH
316,1222411,7,18,5008143,805,LOW,9,NO,HIGH
317,1343070,15,26,5001601,4751,HIGH,5,NO,MEDIUM
318,681683,5,39,4951982,6687,MEDIUM,6,YES,LOW
319,643884,4,17,5017111,710,HIGH,7,NO,HIGH
320,366200,39,9,5013703,6327,MEDIUM,5,YES,MEDIUM
321,164543,48,25,5042773,8569,LOW,4,NO,HIGH
322,923051,37,11,4975821,3840,HIGH,7,YES,MEDIUM
323,1276682,20,5,5013793,334,LOW,5,YES,MEDIUM
324,261616,7,1,4889697,8438,HIGH,3,NO,LOW
325,470489,2,20,4944953,9440,MEDIUM,4,NO,MEDIUM
326,1459173,41,27,5019415,1077,HIGH,4,NO,HIGH
327,410098,40,17,4972864,5635,HIGH,9,NO,HIGH
328,1447911,47,42,4987862,712,MEDIUM,8,YES,HIGH
329,1330565,30,8,4991441,393,LOW,7,YES,HIGH
330,1208402,32,35,5061518,1120,LOW,3,YES,MEDIUM
331,251240,10,32,5012010,7407,HIGH,9,YES,LOW
332,73196,26,48,4983148,8172,HIGH,9,YES,LOW
333,874653,31,49,5051351,174,LOW,1,NO,HIGH
334,779293,21,5,5061594,471,HIGH,9,YES,HIGH
335,818226,42,0,4847379,9486,HIGH,7,NO,MEDIUM
336,168462,20,48,4906670,3375,LOW,1,NO,HIGH
337,651328,9,11,5083420,7280,HIGH,0,YES,LOW
338,272841,35,1,4978160,8441,LOW,4,YES,HIGH
339,792478,37,20,4996775,112,MEDIUM,7,NO,HIGH
340,937056,18,29,5016047,5902,LOW,2,NO,HIGH
341,542847,17,42,5053835,9396,MEDIUM,0,YES,LOW
342,1296071,48,26,4972481,1682,HIGH,3,NO,HIGH
343,1281680,14,9,4944578,8322,HIGH,1,NO,LOW
344,109034,1,22,5039669,577,HIGH,6,NO,HIGH
345,1365948,1,30,5001413,1971,HIGH,5,NO,MEDIUM
346,434038,8,33,4972254,7589,MEDIUM,1,NO,MEDIUM
347,811951,12,11,4999140,6654,MEDIUM,1,YES,LOW
348,817326,5,24,5001790,3550,LOW,8,NO,HIGH
349,949921,22,2,5016007,1766,LOW,8,NO,HIGH
350,659791,18,14,4958268,1421,MEDIUM,4,YES,MEDIUM
351,40937,23,3,5091318,7301,MEDIUM,0,NO,MEDIUM
352,742067,28,21,5022651,6862,HIGH,1,NO,MEDIUM
353,1196375,45,39,4977119,3349,LOW,6,YES,HIGH
354,1143769,45,3,5025729,3707,LOW,4,NO,HIGH
355,1425328,34,9,5030336,2556,MEDIUM,9,NO,HIGH
356,1230765,9,16,4977200,3844,HIGH,9,YES,MEDIUM
357,1352474,40,19,5018189,8631,HIGH,8,NO,MEDIUM
358,1440424,10,22,4996080,6142,LOW,7,NO,HIGH
359,341676,2,8,4980521,1696,LOW,1,YES,MEDIUM
360,832783,48,20,5035743,2570,MEDIUM,8,YES,HIGH
361,910447,34,34,5072873,9953,HIGH,6,NO,MEDIUM
362,1012132,33,8,5029249,1018,LOW,2,YES,MEDIUM
363,1410663,1,33,4914955,6181,MEDIUM,4,YES,LOW
364,576049,42,26,5035358,5015,LOW,3,YES,HIGH
365,1294987,39,27,5081379,2711,MEDIUM,2,YES,MEDIUM
366,1047419,6,46,4932608,601,MEDIUM,7,NO,HIGH
367,1018785,31,20,5010437,100,MEDIUM,5,YES,MEDIUM
368,517337,18,34,5012136,7340,MEDIUM,2,NO,MEDIUM
369,450238,8,31,5055134,794,LOW,0,YES,MEDIUM
370,1291106,21,12,5033420,1313,HIGH,7,NO,HIGH
371,888883,43,32,4962405,9674,MEDIUM,5,NO,HIGH
372,488066,38,31,5006847,2646,HIGH,1,YES,MEDIUM
373,622354,2,18,4923793,2444,MEDIUM,8,YES,MEDIUM
374,404907,12,28,5009713,1085,LOW,9,YES,HIGH
375,691332,17,14,5015599,4112,LOW,4,NO,HIGH
376,64116,24,0,4970328,3027,HIGH,1,NO,MEDIUM
377,209157,13,46,5018948,732,HIGH,9,NO,HIGH
378,165410,20,41,5036340,663,HIGH,6,NO,HIGH
379,1209693,6,35,4972353,8639,LOW,2,YES,MEDIUM
380,1169836,9,42,5027019,8983,HIGH,6,YES,LOW
381,1093912,12,8,4971850,9080,HIGH,3,NO,LOW
382,502980,46,4,5076748,9924,LOW,9,NO,HIGH
383,322510,12,22,4972812,7265,MEDIUM,6,YES,MEDIUM
384,543999,31,36,4964477,2770,MEDIUM,9,YES,HIGH
385,284940,8,12,5042022,9449,LOW,1,YES,MEDIUM
386,121453,13,27,5097002,8273,LOW,5,NO,HIGH
387,898273,23,16,4966890,30,LOW,2,NO,HIGH
388,994405,14,29,5096923,9165,HIGH,3,YES,LOW
389,724594,26,4,4996905,2091,LOW,0,NO,HIGH
390,180856,0,3,5021938,5206,MEDIUM,3,YES,LOW
391,77740,17,8,4963092,4627,HIGH,1,NO,MEDIUM
392,1386590,35,39,4945251,9522,HIGH,3,YES,LOW
393,428294,12,16,4942069,2658,MEDIUM,6,YES,MEDIUM
394,1222778,44,43,4974933,3937,LOW,7,NO,HIGH
395,1032568,29,9,5039536,4462,MEDIUM,9,YES,MEDIUM
396,1183371,25,6,5041118,5950,HIGH,1,NO,MEDIUM
397,976345,32,12,5042883,196,HIGH,5,NO,HIGH
398,1332903,8,18,5009826,6853,MEDIUM,8,NO,HIGH
399,1275869,43,20,4977539,1491,HIGH,2,NO,HIGH
400,1444476,3,28,4942303,5347,HIGH,3,NO,LOW
401,604709,32,1,5030774,3756,MEDIUM,3,YES,MEDIUM
402,1038485,16,42,5004824,5284,LOW,5,NO,HIGH
403,1223551,34,28,4971364,5809,LOW,7,YES,HIGH
404,1084943,19,35,5055415,201,LOW,0,NO,HIGH
405,1169030,19,36,5008218,106,HIGH,2,YES,MEDIUM
406,641036,0,8,5063074,359,LOW,4,YES,MEDIUM
407,153865,19,21,5051879,7658,HIGH,9,YES,LOW
408,790540,12,2,5006347,6617,MEDIUM,1,YES,LOW
409,705892,4,1,5049535,9927,LOW,7,YES,MEDIUM
410,240835,25,38,4947701,3973,HIGH,1,NO,MEDIUM
411,401773,24,17,5025256,1054,LOW,7,YES,HIGH
412,646209,34,1,5097556,4973,LOW,6,NO,HIGH
413,376952,41,9,5050654,7778,MEDIUM,2,NO,HIGH
414,1259923,45,43,5043280,8193,LOW,7,YES,HIGH
415,224464,20,22,4986497,2866,HIGH,7,YES,MEDIUM
416,880093,34,48,4982297,8113,HIGH,9,NO,MEDIUM
417,741146,3,38,5032028,1905,MEDIUM,7,YES,MEDIUM
418,480221,33,29,4932226,5625,MEDIUM,3,NO,HIGH
419,700702,6,15,4924831,697,MEDIUM,0,NO,MEDIUM
420,1263223,1,30,5040641,8076,HIGH,8,NO,LOW
421,1190458,40,18,5096455,9840,MEDIUM,9,YES,MEDIUM
422,1051790,36,11,5031333,2794,HIGH,7,NO,HIGH
423,578100,47,11,5052973,6149,HIGH,0,NO,MEDIUM
424,227706,28,17,5006139,1371,MEDIUM,3,YES,MEDIUM
425,901111,15,0,4981752,7278,MEDIUM,1,YES,LOW
426,376669,9,18,5025280,3813,LOW,9,NO,HIGH
427,549288,24,22,5047519,3054,HIGH,6,NO,HIGH
428,1395862,30,27,4924352,6596,HIGH,0,YES,LOW
429,1346671,35,5,5013299,8230,LOW,2,YES,MEDIUM
430,253888,20,14,5012889,9772,HIGH,0,YES,LOW
431,1070836,48,35,4957160,5202,LOW,5,YES,HIGH
